name,address,cuisines,reviews_list,menu_item
Jalsa,Banashankari,North Indian,Great food,Paneer
Spice Elephant,Banashankari,Chinese,Nice place,Chicken
San Churro Cafe,Banashankari,Cafe,Good coffee,Mocha
Addhuri Udupi Bhojana,Banashankari,South Indian,Authentic,Dosa
Grand Village,Basavanagudi,North Indian,Tasty,Dal
Timepass Dinner,Basavanagudi,North Indian,Slow service,Roti
Rosewood International,Basavanagudi,North Indian,Family dinner,Veg
Pecos Classic,Residency Road,Pub,Beer,Beer
Hard Rock Cafe,St. Marks Road,Pub,Burgers,Burger
Truffles,Koramangala,Cafe,Best burgers,Steak
Empire Restaurant,Jayanagar,Mughlai,Late night,Grilled
KFC,Indiranagar,Fast Food,Fried chicken,Wings
Pizza Hut,Indiranagar,Pizza,Pan pizza,Pizza
Sunny's,Lavelle Road,European,Fine dining,Wine
Corner House Ice Cream,Lavelle Road,Desserts,DBC,Ice Cream
CTR Shri Sagar,Malleshwaram,South Indian,Best dosa,Dosa
MTR,Lalbagh,South Indian,Traditional,Idli
Samosa Singh,Indiranagar,Snacks,Crispy,Samosa
Starbucks,Indiranagar,Cafe,Classic,Coffee
Nagarjuna,Residency Road,Andhra,Spicy,Meals
